year,AFG,PFG,SHR,TRE,LTR,BGR,annualTemp,annualPrecip
1986,0.52,15.63,1.04,70.81,1.56,0.42,39.8,39.55
1987,0.31,15.59,0.4,76.82,2.17,0.46,41.07,35.07
1988,0.34,11.98,0.35,72.93,1.14,0.19,40.67,36.28
1989,0.61,13.61,1.19,69.49,1.87,0.36,38.71,42.23
1990,0.27,14.51,0.82,73.43,1.45,0.18,41.87,51.02
1991,0.07,14.07,0.2,80.3,1.49,0.38,40.89,41.79
1992,0.07,22.23,0.45,54.62,0.56,0.12,39.26,35.45
1993,0.07,23.82,0.39,56.21,0.91,0.23,39.24,45.16
1994,0.6,22.21,0.73,62.66,1.98,0.5,39.8,38.8
1995,0.28,19.94,0.62,71.73,1.34,0.12,40.34,41.18
1996,0.08,12.87,0.55,82.32,1.48,0.04,40.49,50.09
1997,0.31,7.95,0.49,87.94,1.27,0.2,39.11,39.53
1998,0.17,10.03,0.33,81.29,1.09,0.19,42.66,43.45
1999,1.2,16.4,1.66,70.37,2.01,0.66,43.24,46.18
2000,0.58,10.6,0.81,83.34,1.87,0.1,40.22,41.68
2001,0.46,10.11,0.66,80.13,1.8,0.08,41.98,27.41
2002,1.01,13.28,1.5,73.43,2.34,0.59,40.96,41.92
2003,0.76,15.03,1.14,70.92,2.3,0.44,40.44,46.3
2004,0.75,15.16,1.13,70.06,1.73,0.3,40.11,36.31
2005,0.45,11.55,0.6,81.97,1.74,0.06,41.98,62.94
2006,0.61,11.93,1.21,79.2,1.64,0.11,44.14,50.01
2007,0.52,10.79,1.22,79.38,1.75,0.15,40.85,45.45
2008,0.64,12.67,1.32,78.17,1.9,0.25,41.13,59.07
2009,0.37,13.17,0.9,77.79,1.42,0.16,40.74,49.02
2010,0.55,11.22,1.21,78.97,1.54,0.15,44.61,49.52
2011,0.8,12.06,1.42,78.93,1.96,0.3,42.83,50.14
2012,0.6,7.39,0.67,87.58,1.73,0.08,43.44,47.27
2013,0.78,7.36,0.78,87.92,1.8,0.1,42.06,47.33
2014,0.86,8.66,1.1,85.04,1.92,0.16,41.1,51.65
2015,0.83,8.28,0.77,85.68,1.9,0.21,40.94,43.16
2016,1.19,7.92,0.79,85.87,2.05,0.22,42.7,41.92
2017,0.61,6.29,0.93,87.83,1.93,0.05,42.09,47.46
2018,0.39,6.88,0.76,88.8,1.96,0.04,41.54,51.31
2019,0.89,6.94,0.86,86.95,2.04,0.11,40.11,54.46
2020,0.91,7.38,1.01,86.13,1.86,0.13,43.14,43.88
2021,0.85,7.3,0.75,87.44,1.87,0.07,44.02,48.69
